id_mascota,nombre,especie,raza,edad_anos,peso_kg,fecha_consulta,dueno_nombre,dueno_email,motivo_consulta,costo_consulta,rango_peso,especie_No_Info,especie_gato,especie_loro,especie_perro,especie_pez,años_cliente
1,firulais,perro,labrador,3.0,28.5,,juan perez,juan.perez@gmail.com,control rutinario,25000.0,alto,False,False,False,True,False,
2,firulais,perro,labrador,3.0,28.5,,juan perez,juan.perez+002@gmail.com,control rutinario,25000.0,alto,False,False,False,True,False,
3,mishi,gato,siames,,4.2,,No_Info,ana.gomez@hotmail.com,vacunacion,18000.0,normal,False,True,False,False,False,
4,rex,perro,pastor aleman,7.0,350.0,,carlos munoz,rex_owner@vet.com,revision general,30000.0,obeso,False,False,False,True,False,
5,pelusa,gato,persa,2.0,3.8,,maria torres,pelusa@gmail.com,desparasitacion,15000.0,bajo,False,True,False,False,False,
7,coco,perro,chihuahua,1.0,2.1,,roberto lagos,coco@gmail.com,primera consulta,20000.0,bajo,False,False,False,True,False,
8,luna,gato,angora,5.0,4.8,,claudia vega,luna.vega@gmail.com,revision dental,35000.0,normal,False,True,False,False,False,
9,toby,perro,golden retriever,4.0,32.1,,pedro alvarez,toby@mail.cl,control rutinario,25000.0,alto,False,False,False,True,False,
10,nala,gato,domestico,,3.5,,isabel rojas,nala.rojas@gmail.com,esterilizacion,80000.0,bajo,False,True,False,False,False,
11,max,perro,bulldog,6.0,28.9,,fernando soto,max.soto@gmail.com,vacunacion,18000.0,alto,False,False,False,True,False,
12,whiskers,gato,maine coon,3.0,6.2,,valentina cruz,whiskers@gmail.com,revision general,25000.0,normal,False,True,False,False,False,
13,bella,perro,beagle,2.0,10.5,,andres mora,bella.mora@gmail.com,desparasitacion,15000.0,normal,False,False,False,True,False,
14,simba,gato,bengali,1.0,4.1,,carolina diaz,simba@mail.cl,vacunacion,18000.0,normal,False,True,False,False,False,
15,rocky,perro,boxer,5.0,30.2,,diego herrera,rocky@gmail.com,control cardiaco,45000.0,alto,False,False,False,True,False,
16,michi,gato,domestico,8.0,4.9,,patricia flores,michi.flores@hotmail.com,revision general,25000.0,normal,False,True,False,False,False,
17,zeus,perro,rottweiler,,45.3,,gonzalo reyes,zeus@gmail.com,control rutinario,25000.0,obeso,False,False,False,True,False,
18,pelusa,gato,persa,2.0,3.8,,maria torres,pelusa+018@gmail.com,control post-cirugia,30000.0,bajo,False,True,False,False,False,
19,kira,perro,husky,3.0,22.7,,sofia martinez,kira@gmail.com,vacunacion,18000.0,alto,False,False,False,True,False,
20,garfield,gato,domestico,10.0,9999.0,,jorge castillo,garfield@gmail.com,control de peso,25000.0,obeso,False,True,False,False,False,
21,lola,perro,caniche,4.0,5.2,,camila ortiz,lola.ortiz@gmail.com,revision dental,35000.0,normal,False,False,False,True,False,
22,nemo,pez,payaso,,0.05,,ricardo pinto,nemo@gmail.com,revision general,15000.0,bajo,False,False,False,False,True,
23,manchas,gato,domestico,6.0,4.3,,elena vargas,manchas@mail.cl,desparasitacion,15000.0,normal,False,True,False,False,False,
24,bruno,perro,labrador,9.0,33.8,,tomas ibanez,bruno@gmail.com,control geriatrico,40000.0,alto,False,False,False,True,False,
25,mia,gato,siames,,3.9,,natalia sanchez,mia.sanchez@gmail.com,esterilizacion,80000.0,bajo,False,True,False,False,False,
26,thor,perro,san bernardo,2.0,68.5,,hector vidal,thor@gmail.com,control rutinario,25000.0,obeso,False,False,False,True,False,
27,kitty,gato,angora,4.0,4.0,,lorena munoz,kitty@hotmail.com,vacunacion,18000.0,normal,False,True,False,False,False,
28,pancho,perro,mestizo,7.0,18.3,,sebastian lopez,pancho@gmail.com,revision general,25000.0,alto,False,False,False,True,False,
29,mia,gato,siames,,3.9,,natalia sanchez,mia.sanchez+029@gmail.com,control post-cirugia,30000.0,bajo,False,True,False,False,False,
30,cleo,perro,dalmata,3.0,24.6,,gabriela nunez,cleo@gmail.com,desparasitacion,15000.0,alto,False,False,False,True,False,
31,oscar,gato,domestico,11.0,5.7,,marcelo fuentes,oscar@gmail.com,control geriatrico,40000.0,normal,False,True,False,False,False,
32,lassy,perro,collie,6.0,28.1,,daniela campos,lassy@gmail.com,control rutinario,25000.0,alto,False,False,False,True,False,
33,No_Info,No_Info,domestico,3.0,4.5,,luis espinoza,sin_nombre@mail.cl,vacunacion,18000.0,normal,True,False,False,False,False,
34,buba,perro,pitbull,,22.4,,alejandro rios,buba@gmail.com,revision general,25000.0,alto,False,False,False,True,False,
35,salem,gato,domestico,7.0,4.2,,francisca leon,salem@gmail.com,revision dental,35000.0,normal,False,True,False,False,False,
36,duque,perro,doberman,4.0,34.9,,matias urrea,duque@gmail.com,control rutinario,25000.0,alto,False,False,False,True,False,
37,mimi,gato,domestico,2.0,3.1,,catalina pena,mimi@hotmail.com,esterilizacion,80000.0,bajo,False,True,False,False,False,
38,bolt,perro,dalmata,1.0,20.8,,nicolas castro,bolt@gmail.com,primera consulta,20000.0,alto,False,False,False,True,False,
39,cleo,perro,dalmata,3.0,24.6,,gabriela nunez,cleo+039@gmail.com,control rutinario,25000.0,alto,False,False,False,True,False,
40,mufasa,gato,maine coon,5.0,7.3,,victoria rojas,mufasa@gmail.com,revision general,25000.0,normal,False,True,False,False,False,
41,fido,perro,mestizo,-1.0,15.2,,pablo herrera,fido@gmail.com,vacunacion,18000.0,alto,False,False,False,True,False,
42,luna,gato,angora,5.0,4.8,,claudia vega,luna.vega+042@gmail.com,revision dental,35000.0,normal,False,True,False,False,False,
43,toto,perro,schnauzer,3.0,8.9,,ignacio alvarez,toto@gmail.com,desparasitacion,15000.0,normal,False,False,False,True,False,
44,missy,gato,persa,6.0,4.4,,renata molina,missy@gmail.com,control rutinario,25000.0,normal,False,True,False,False,False,
45,rex,perro,pastor aleman,7.0,350.0,,carlos munoz,rex_owner+045@vet.com,control anual,30000.0,obeso,False,False,False,True,False,
46,paco,loro,cotorra,,0.15,,eduardo torres,paco@gmail.com,revision general,20000.0,bajo,False,False,True,False,False,
