id_mascota,nombre,especie,raza,edad_anos,peso_kg,fecha_consulta,dueno_nombre,dueno_email,motivo_consulta,costo_consulta
1,Firulais,perro,Labrador,3.0,28.5,2023-03-15,Juan Perez,juan.perez@gmail.com,Control rutinario,25000.0
2,FIRULAIS,Perro,labrador,3.0,28.5,2023-03-15,Juan Perez,juan.perez+002@gmail.com,Control rutinario,25000.0
3,Mishi,GATO,Siames,,4.2,15/04/2023,,ana.gomez@hotmail.com,Vacunacion,18000.0
4,Rex,perro,Pastor Aleman,7.0,350.0,2023-05-20,Carlos Munoz,rex_owner@vet.com,Revision general,30000.0
5,Pelusa,Cat,Persa,2.0,3.8,20230601,Maria Torres,pelusa@gmail.com,Desparasitacion,15000.0
6,,,,,,,,nan,,
7,Coco,perro,Chihuahua,1.0,2.1,2023-07-10,Roberto Lagos,coco@gmail.com,Primera consulta,20000.0
8,Luna,gato,Angora,5.0,4.8,2023-07-22,Claudia Vega,luna.vega@gmail.com,Revision dental,35000.0
9,Toby,PERRO,Golden Retriever,4.0,32.1,22/08/2023,Pedro Alvarez,toby@mail.cl,Control rutinario,25000.0
10,Nala,gata,Domestico,,3.5,2023-09-05,Isabel Rojas,nala.rojas@gmail.com,Esterilizacion,80000.0
11,Max,perro,Bulldog,6.0,28.9,2023-09-18,Fernando Soto,max.soto@gmail.com,Vacunacion,18000.0
12,Whiskers,gato,Maine Coon,3.0,6.2,20230930,Valentina Cruz,whiskers@gmail.com,Revision general,25000.0
13,Bella,Perro,Beagle,2.0,10.5,2023-10-12,Andres Mora,bella.mora@gmail.com,Desparasitacion,15000.0
14,Simba,GATO,Bengali,1.0,4.1,2023-10-25,Carolina Diaz,simba@mail.cl,Vacunacion,18000.0
15,Rocky,perro,Boxer,5.0,30.2,2023-11-08,Diego Herrera,rocky@gmail.com,Control cardiaco,45000.0
16,Michi,cat,Domestico,8.0,4.9,08/11/2023,Patricia Flores,michi.flores@hotmail.com,Revision general,25000.0
17,Zeus,perro,Rottweiler,,45.3,2023-11-20,Gonzalo Reyes,zeus@gmail.com,Control rutinario,25000.0
18,Pelusa,gato,Persa,2.0,3.8,2023-11-28,Maria Torres,pelusa+018@gmail.com,Control post-cirugia,30000.0
19,Kira,PERRA,Husky,3.0,22.7,20231205,Sofia Martinez,kira@gmail.com,Vacunacion,18000.0
20,Garfield,gato,Domestico,10.0,9999.0,2023-12-10,Jorge Castillo,garfield@gmail.com,Control de peso,25000.0
21,Lola,perro,Caniche,4.0,5.2,2023-12-18,Camila Ortiz,lola.ortiz@gmail.com,Revision dental,35000.0
22,Nemo,pez,Payaso,,0.05,2024-01-08,Ricardo Pinto,nemo@gmail.com,Revision general,15000.0
23,Manchas,GATO,Domestico,6.0,4.3,08/01/2024,Elena Vargas,manchas@mail.cl,Desparasitacion,15000.0
24,Bruno,perro,Labrador,9.0,33.8,2024-01-22,Tomas Ibanez,bruno@gmail.com,Control geriatrico,40000.0
25,Mia,gata,Siames,,3.9,20240205,Natalia Sanchez,mia.sanchez@gmail.com,Esterilizacion,80000.0
26,Thor,perro,San Bernardo,2.0,68.5,2024-02-14,Hector Vidal,thor@gmail.com,Control rutinario,25000.0
27,Kitty,Cat,Angora,4.0,4.0,2024-02-28,Lorena Munoz,kitty@hotmail.com,Vacunacion,18000.0
28,Pancho,PERRO,Mestizo,7.0,18.3,28/02/2024,Sebastian Lopez,pancho@gmail.com,Revision general,25000.0
29,Mia,gata,Siames,,3.9,2024-03-10,Natalia Sanchez,mia.sanchez+029@gmail.com,Control post-cirugia,30000.0
30,Cleo,perro,Dalmata,3.0,24.6,2024-03-18,Gabriela Nunez,cleo@gmail.com,Desparasitacion,15000.0
31,Oscar,gato,Domestico,11.0,5.7,20240401,Marcelo Fuentes,oscar@gmail.com,Control geriatrico,40000.0
32,Lassy,perra,Collie,6.0,28.1,2024-04-10,Daniela Campos,lassy@gmail.com,Control rutinario,25000.0
33,,,Domestico,3.0,4.5,2024-04-15,Luis Espinoza,sin_nombre@mail.cl,Vacunacion,18000.0
34,Buba,PERRO,Pitbull,,22.4,15/04/2024,Alejandro Rios,buba@gmail.com,Revision general,25000.0
35,Salem,gato,Domestico,7.0,4.2,2024-04-28,Francisca Leon,salem@gmail.com,Revision dental,35000.0
36,Duque,perro,Doberman,4.0,34.9,2024-05-05,Matias Urrea,duque@gmail.com,Control rutinario,25000.0
37,Mimi,GATA,Domestico,2.0,3.1,20240518,Catalina Pena,mimi@hotmail.com,Esterilizacion,80000.0
38,Bolt,perro,Dalmata,1.0,20.8,2024-05-22,Nicolas Castro,bolt@gmail.com,Primera consulta,20000.0
39,Cleo,perro,Dalmata,3.0,24.6,2024-05-30,Gabriela Nunez,cleo+039@gmail.com,Control rutinario,25000.0
40,Mufasa,GATO,Maine Coon,5.0,7.3,30/05/2024,Victoria Rojas,mufasa@gmail.com,Revision general,25000.0
41,Fido,perro,Mestizo,-1.0,15.2,2024-06-05,Pablo Herrera,fido@gmail.com,Vacunacion,18000.0
42,Luna,gato,Angora,5.0,4.8,2024-06-12,Claudia Vega,luna.vega+042@gmail.com,Revision dental,35000.0
43,Toto,perro,Schnauzer,3.0,8.9,20240620,Ignacio Alvarez,toto@gmail.com,Desparasitacion,15000.0
44,Missy,gata,Persa,6.0,4.4,2024-06-28,Renata Molina,missy@gmail.com,Control rutinario,25000.0
45,Rex,perro,Pastor Aleman,7.0,350.0,2024-07-05,Carlos Munoz,rex_owner+045@vet.com,Control anual,30000.0
46,Paco,Loro,Cotorra,,0.15,2024-07-10,Eduardo Torres,paco@gmail.com,Revision general,20000.0
47,Canela,perra,Cocker Spaniel,4.0,13.7,10/07/2024,Paulina Romero,canela@mail.cl,Vacunacion,18000.0
48,Gohan,PERRO,Labrador,2.0,29.3,2024-07-22,Cristobal Vera,gohan@gmail.com,Control rutinario,25000.0
49,Nala,gata,Domestico,,3.5,2024-07-30,Isabel Rojas,nala.rojas+049@gmail.com,Control post-op,30000.0
50,Chispas,perro,Chihuahua,8.0,2.8,20240808,Amanda Jimenez,chispas@gmail.com,Control geriatrico,40000.0
51,Tita,perro,Labrador,11.0,6.0,2024-03-12,Maria Castro,mascota051@vetlab.cl,Revision general,50000.0
52,Pecas,perro,Rottweiler,3.0,11.6,2024-02-17,Luis Perez,mascota052@vetlab.cl,Control rutinario,60000.0
53,Coco,perro,Boxer,6.0,11.1,2024-10-06,Sebastian Garrido,mascota053@vetlab.cl,Control geriatrico,60000.0
54,Nala,gato,Siames,4.0,8.3,2024-06-23,Sebastian Garrido,mascota054@vetlab.cl,Control post-cirugia,35000.0
55,Puma,perro,Beagle,9.0,13.0,2024-06-25,Javiera Soto,mascota055@vetlab.cl,Esterilizacion,15000.0
56,Maya,gato,Mestizo,8.0,14.3,2024-02-10,Elena Saavedra,mascota056@vetlab.cl,Control post-cirugia,80000.0
57,Toby,gato,Angora,12.0,14.1,2024-04-26,Luis Perez,mascota057@vetlab.cl,Control geriatrico,18000.0
58,Puma,perro,Beagle,13.0,17.4,2024-11-21,Diego Leon,mascota058@vetlab.cl,Control de peso,35000.0
59,Tita,gato,Angora,9.0,29.1,2024-02-06,Sebastian Garrido,mascota059@vetlab.cl,Control geriatrico,50000.0
60,Gala,perro,Bulldog,11.0,25.7,2024-11-23,Tomas Munoz,mascota060@vetlab.cl,Control dental,80000.0
61,Max,gato,Siames,6.0,13.1,2024-06-10,Manuel Soto,mascota061@vetlab.cl,Control rutinario,25000.0
62,Bambu,gato,Angora,2.0,13.0,2024-08-22,Tomas Munoz,mascota062@vetlab.cl,Control geriatrico,25000.0
63,Chispa,gato,Sphynx,2.0,N/A,2024-04-22,Tomas Munoz,mascota063@vetlab.cl,Esterilizacion,18000.0
64,Sasha,perro,Beagle,9.0,4.3,04/08/2024,Felipe Araya,mascota064@vetlab.cl,Desparasitacion,40000.0
65,Kira,gato,Mestizo,10.0,40.0,2024-02-28,Martina Lagos,mascota065@vetlab.cl,Control rutinario,30000.0
66,Pepa,gato,Persa,0.5,43.0,2024-08-20,,mascota066@vetlab.cl,Desparasitacion,30000.0
67,Rocco,perro,Boxer,13.0,29.3,2024-02-30,Renata Avila,mascota067@vetlab.cl,Control geriatrico,60000.0
68,Choco,perro,Bulldog,12.0,41.6,2024-10-03,Cristobal Fuentes,mascota068@vetlab.cl,Desparasitacion,15000.0
69,,gato,Bosque de Noruega,3.0,4.0,2024-06-06,Javiera Soto,mascota069@vetlab.cl,Esterilizacion,60000.0
70,Bambu,perro,Beagle,12.0,7.0,2024-09-29,Manuel Soto,mascota070@vetlab.cl,Vacunacion,80000.0
71,Nala,gato,Mestizo,6.0,N/A,2024-11-06,Diego Leon,mascota071@vetlab.cl,Control cardiaco,50000.0
72,Loki,perro,Pastor Aleman,7.0,40.6,2024-07-10,Constanza Vidal,mascota072@vetlab.cl,Control geriatrico,45000.0
73,Max,perro,Poodle,9.0,25.6,2024-01-11,Camila Silva,mascota073@vetlab.cl,Esterilizacion,60000.0
74,Toby,perro,Labrador,3.0,4.4,2024-01-31,Sebastian Garrido,mascota074@vetlab.cl,Control geriatrico,15000.0
75,Negrita,gato,Persa,3.0,25.0,2024-09-05,Maria Castro,mascota075@vetlab.cl,Control dental,60000.0
76,Moka,gato,Angora,1.0,5.7,2024-04-07,Josefina Ruiz,mascota076.vetlab.cl,Control post-cirugia,40000.0
77,Duna,Perro,sphynx,1.0,4.1,2024-11-26,Alvaro Castillo,mascota077@vetlab.cl,Control rutinario,35000.0
78,Coco,perro,Poodle,-4.8,19.9,2024-08-17,Sergio Ortiz,mascota078@vetlab.cl,Control cardiaco,30000.0
79,Toby,gato,Angora,0.5,29.9,2024-02-20,Alvaro Castillo,mascota079@vetlab.cl,Control cardiaco,50000.0
80,Rex,perro ,Beagle,7.0,10.8,2024-09-05,Valentina Diaz,mascota080@vetlab.cl,Control post-cirugia,-30000.0
81,Puma,perro,Bulldog,12.0,35.7,2024-05-15,Ana Rojas,mascota081@vetlab.cl,Control post-cirugia,30000.0
82,Bambu,gato,Mestizo,3.0,43.6,2024-05-31,Pedro Fuentes,mascota082@vetlab.cl,Revision general,60000.0
83,Lola,perro,Golden Retriever,8.0,41.5,2024/13/05,Luis Perez,mascota083@vetlab.cl,Primera consulta,50000.0
84,Negrita,perro,Labrador,9.0,4.5,2024-02-05,Camila Silva,mascota084@vetlab.cl,Desparasitacion,25000.0
85,Trueno,gato,Persa,0.5,28.4,2024-10-31,Maria Castro,mascota085@vetlab.cl,Primera consulta,40000.0
86,Luna,gato,Bengali,4.0,18.7,2024-05-02,Constanza Vidal,mascota086@vetlab.cl,Esterilizacion,80000.0
87,Canela,gato,Bosque de Noruega,7.0,28.5,2024-01-05,Elena Saavedra,mascota087@vetlab.cl,Vacunacion,60000.0
88,Pelusa,perro,Beagle,2.0,42.1,2024-05-15,Sergio Ortiz,mascota088@vetlab.cl,Control cardiaco,-15000.0
89,Pepa,perro,Golden Retriever,11.0,14.7,2024-10-05,Valentina Diaz,mascota089@vetlab.cl,Control de peso,80000.0
90,Nube,Perro,mestizo,2.0,13.0,2024-02-23,Paula Morales,mascota090@vetlab.cl,Control geriatrico,18000.0
91,Pepa,perro,Pastor Aleman,3.0,31.4,2024/13/05,Isidora Reyes,mascota091@vetlab.cl,Revision general,30000.0
92,Lola,gato,Bengali,13.0,13.5,2024-08-04,Camila Silva,mascota092@vetlab.cl,Control geriatrico,15000.0
93,Kira,gato,Maine Coon,11.0,20.1,2024-10-09,Valentina Diaz,mascota093@vetlab.cl,Control de peso,15000.0
94,Sasha,perro,Beagle,-0.6,25.5,2024-07-08,Martina Lagos,mascota094@vetlab.cl,Control rutinario,40000.0
95,Boby,perro,Labrador,3.0,31.2,2024-07-02,Carolina Vega,mascota095@vetlab.cl,Control rutinario,80000.0
